period_type,start_date,end_date,views,comments,likes
weekly,2025-08-18,2025-08-24,209,0,15
weekly,2025-08-25,2025-08-31,915,6,78
weekly,2025-09-01,2025-09-07,1469,6,130
weekly,2025-09-08,2025-09-14,2286,35,240
weekly,2025-09-15,2025-09-21,2820,49,326
weekly,2025-09-22,2025-09-28,2206,41,307
weekly,2025-09-29,2025-10-05,2555,70,319
weekly,2025-10-06,2025-10-12,3821,185,410
weekly,2025-10-13,2025-10-19,5699,312,480
weekly,2025-10-20,2025-10-26,4593,348,490
weekly,2025-10-27,2025-11-02,4467,288,360
weekly,2025-11-03,2025-11-09,4303,282,339
weekly,2025-11-10,2025-11-16,5546,271,380
weekly,2025-11-17,2025-11-23,4336,202,382
weekly,2025-11-24,2025-11-30,3397,217,376
weekly,2025-12-01,2025-12-07,4706,205,454
weekly,2025-12-08,2025-12-14,4009,146,376
weekly,2025-12-15,2025-12-21,3999,132,373
weekly,2025-12-22,2025-12-28,2665,117,279
weekly,2025-12-29,2026-01-04,3808,133,387
weekly,2026-01-05,2026-01-11,2392,82,388
weekly,2026-01-12,2026-01-18,2127,102,277
weekly,2026-01-19,2026-01-25,1876,60,290
weekly,2026-01-26,2026-02-01,4215,99,557
weekly,2026-02-02,2026-02-08,4564,116,531
weekly,2026-02-09,2026-02-15,3978,114,458
weekly,2026-02-16,2026-02-22,5398,98,801
weekly,2026-02-23,2026-03-01,3000,97,289
weekly,2026-03-02,2026-03-08,5334,110,760
weekly,2026-03-09,2026-03-15,7647,195,1092
weekly,2026-03-16,2026-03-22,5553,155,747
